pred,label1,label1_occurrence,label2,label2_occurrence,label3,label3_occurrence,label1_full,label2_full,label3_full,index,Unnamed: 11
373,fum,100.0,cigarr,10.9,bas,7.3,fumando,,,Sonhei que estava fumando narguilé e acordei com abstinência.,
316,lev,100.0,tir,17.7,car,13.9,levava,,,Eu sonhei que Trickster levava o primeiro win.,
304,adot,100.0,crianc,100.0,cachorr,11.1,adotava,criancas,,Sonhei que adotava três crianças e acordei chorando.,
197,brig,100.0,amig,10.7,gent,9.9,brigando,,,Sonhei que estava brigando por comida.,
571,sobrinh,100.0,grav,20.0,amig,13.3,sobrinha,,,Sonhei que era sobrinha do Jaebeom?,
434,viaj,100.0,ia,13.2,amig,9.2,viajando,,,Sonhei que estava viajando para o Maranhão.,
90,saudad,100.0,nov,9.9,volt,9.0,saudades,,,"Eu sonhei que estava em Chapecó hoje, que saudades.",
492,pai,100.0,menin,66.7,lind,22.2,pai,,,Sonhei que eu era pai.,
197,brig,100.0,amig,10.7,gent,9.9,brigava,,,Sonhei que eu brigava com a presidente do PT.,
457,sal,100.0,menin,28.6,dorm,14.3,sala,,,Esses dias sonhei que tinha vários elementais na minha sala.,
460,nasc,100.0,filh,25.8,grav,14.5,nascido,,,Sonhei que minha irmãzinha tinha nascido. Julinha ❤️,
340,beij,100.0,menin,100.0,amig,10.0,beijei,menina,,"Hoje sonhei que beijei aquela menina, meu Deus, acordei triste.",
248,,100.0,aaron,0.0,abacat,0.0,,,,Sonhei que estava  com ele.,
235,tom,100.0,banh,8.3,holland,6.4,tomando,,,Sonhei que estava tomando um vinhozinho com ela.,
314,pedrinh,85.7,mc,71.4,faz,28.6,pedrinho,mc,fazia,Sonhei que a Camila fazia parceria com MC Pedrinho.,
444,vir,100.0,amig,10.4,gent,7.5,virava,,,Sonhei que eu virava mulher de presidiário.,
648,disney,100.0,gent,9.5,ter,9.5,disney,,,Sonhei que eu tinha ido para a Disney.,
558,mud,100.0,cabel,8.6,ia,8.6,mudava,,,Sonhei que a Savannah mudava o ícone do Twitter.,
44,ganh,100.0,surpres,100.0,aniversari,83.3,ganhava,surpresa,,Eu sonhei que ganhava uma festa surpresa! Providenciem AGORA.,
378,perd,100.0,dia,8.5,chor,7.3,perdia,,,Sonhei que perdia o topo do meu microdermal.,
147,beij,100.0,menin,7.6,algu,6.4,beijei,,,Sonhei que beijei o Lucas Inutilismo.,
417,lariss,100.0,manoel,100.0,fest,25.0,larissa,manoela,,"Sonhei que eu namorava a Larissa Manoela, será um sinal?",
355,tra,100.0,car,6.8,send,6.8,traiu,,,Sonhei que [oculto] me traiu e agora estou assim.,
147,beij,100.0,menin,7.6,algu,6.4,beijava,,,"Sonhei que beijava a Anitta, acho que foi uma visão.",
54,calv,100.0,fic,40.0,pesadel,14.3,calvo,,,"Sonhei que estava calvo hoje, que desespero.",
54,calv,100.0,fic,40.0,pesadel,14.3,calvo,ficando,,"Sonhei que estava ficando calvo, meu Deus.",
380,cabec,100.0,rasp,100.0,sozinh,25.0,cabeca,raspava,,Sonhei que raspava a cabeça. Será um sinal?,
580,show,100.0,menin,20.0,teatr,20.0,show,,,Sonhei que estava em um show do Hej.,
192,roub,100.0,celul,13.0,carr,7.2,roubaram,,,Sonhei que roubaram meu cachorro e acordei boladíssimo.,
10,brac,100.0,tatuag,100.0,fech,88.9,braco,tatuagem,fechado,Sonhei que tinha fechado meu braço de tatuagem.,
118,termin,100.0,namor,31.2,comig,25.0,terminava,namoro,,Sonhei que eu terminava meu namoro. ,
659,grav,100.0,trigem,100.0,janel,20.0,gravida,trigemeos,,"Sonhei que estava grávida de trigêmeos, Deus que me perdoe!",
263,juliett,100.0,show,21.2,amig,18.2,juliette,,,Sonhei que estava conhecendo a Juliette essa noite.,
636,bal,100.0,faz,15.4,comig,7.7,balada,,,"Sonhei que estava na balada, cruzes que delícia.",
600,loucur,100.0,compr,8.6,namor,8.6,loucura,,,"Sonhei que estava casando, que loucura.",
11,estagi,100.0,faz,29.4,vem,17.6,estagiando,,,Sonhei que estava estagiando no BP. Estou muito triste.,
54,calv,100.0,fic,40.0,pesadel,14.3,calvo,,,Sonhei que eu era um calvo.,
12,aniversari,100.0,esquec,100.0,mund,90.9,aniversario,esquecia,mundo,Sonhei que todo mundo esquecia o meu aniversário.,
222,mil,100.0,ganh,69.6,rea,17.4,mil,,,Sonhei que eu tinha 125 mil seguidores aqui.,
314,pedrinh,85.7,mc,71.4,faz,28.6,pedrinho,,,Sonhei que o Pedrinho era uma mulher velha e cachorra.,
649,beb,100.0,grav,13.3,menin,11.5,bebendo,,,"E eu que sonhei que estava bebendo cerveja, CERVEJA .",
567,compr,100.0,faz,7.1,ia,6.7,comprei,,,Sonhei que comprei uma calça preta linda :(,
13,flor,100.0,ganh,75.0,anos,12.5,flores,ganhava,,"Sonhei que ganhava flores, só sonhei mesmo.",
248,,100.0,aaron,0.0,abacat,0.0,,,,Sonhei que ainda estava tudo bem.,
89,lul,100.0,vot,100.0,eleica,22.2,lula,votar,eleicao,Sonhei que Lula vencia a eleição. Ansioso para votar nele.,
390,boa,100.0,faz,11.1,cas,10.0,boa,,,"Eu sonhei que estava namorando. Meu Deus, que sensação boa.",
312,apavor,100.0,grav,16.7,cas,8.3,apavorado,,,"Sonhei que tinha tirado o bigodinho sem querer, acordei apavorado.",
378,perd,100.0,dia,8.5,chor,7.3,perdia,,,"Caramba, sonhei que Virgínia perdia o filho.",
14,horror,100.0,morr,71.4,billi,14.3,horror,morrido,,"Sonhei que tinha morrido, que horror!",
111,gat,100.0,cas,16.0,fug,8.0,gatos,,,Gente... Eu sonhei que tinha três gatos...,
427,adot,100.0,beb,13.7,cachorr,7.8,adotava,,cachorro,Hoje eu sonhei que eu adotava um cachorro.,
485,pass,100.0,faz,7.1,cas,5.9,passado,,,Sonhei que estava visitando o passado. Estava tão legal.,
235,tom,100.0,banh,8.3,holland,6.4,tomando,banho,,Sonhei que estava tomando banho de cachaça .,
458,aniversari,70.6,feliz,64.7,fiqu,11.8,,feliz,fiquei,"Sonhei que eu era a Feiticeira Escarlate, fiquei feliz :)",
227,pra,100.0,ia,13.3,amig,6.7,praia,ia,,Sonhei que ia à praia.,
15,avo,100.0,ano,12.5,assum,12.5,avo,,,"Meu Deus, eu sonhei que minha avó era satanista? ",
421,atac,100.0,dia,12.1,cachorr,9.1,atacado,,,"Sonhei que era atacado pelo chupa-cu, vei.",
4,lanc,100.0,music,23.2,ia,12.2,lancado,musica,,"Sonhei que a Billie tinha lançado música nova, vem aí.",
3,gol,100.0,faz,37.7,jog,19.7,gol,,,Sonhei que o Hazard marcava o gol do título.,
205,cas,100.0,car,5.6,cheg,5.1,casei,,,"Sonhei que casei com o Ga, é isso.",
127,namor,100.0,menin,4.8,car,3.5,namorava,,,E eu que sonhei que namorava o MC Hariel.,
118,termin,100.0,namor,31.2,comig,25.0,terminava,,,Sonhei que ela terminava com o feio.,
214,filh,100.0,lind,12.1,dia,9.5,filha,,,Sonhei que era filha do Johnny Depp.,
473,corinthians,100.0,jog,54.5,ganh,18.2,corinthians,,,"Sonhei que o Corinthians perdia amanhã, ai meu pai.",
585,cred,100.0,grav,19.6,morr,11.8,credo,,morreu,"Cruzes, sonhei que o Roberto Carlos morreu . Credo.",
312,apavor,100.0,grav,16.7,cas,8.3,apavorada,,,"Sonhei que tinha roído minhas unhas, acordei apavorada .",
479,rainh,100.0,elizabeth,80.0,morr,80.0,rainha,elizabeth,,Sonhei que a Rainha Elizabeth usava heroína.,
283,bol,100.0,jog,55.2,faz,13.8,bola,jogando,,"Sonhei que estava jogando bola, não tá dando mais.",
227,pra,100.0,ia,13.3,amig,6.7,praia,,,Sonhei que estava na praia.,
567,compr,100.0,faz,7.1,ia,6.7,comprei,,,Sonhei que comprei o conjunto de frio do Vasco.,
228,lul,100.0,conhec,83.3,abrac,16.7,lula,conheci,,"Sonhei que conheci o Lula, sonhos aleatórios .",
527,surt,78.7,car,27.7,cabel,8.5,,cara,,"Sonhei que fechei as costas, cara.",
609,cai,75.0,porr,56.2,acab,6.2,caia,,,Sonhei que meu fone caía e partia em dois.,
16,aniversari,100.0,send,20.0,temp,20.0,aniversario,,,Sonhei que meu aniversário era hoje?,
248,,100.0,aaron,0.0,abacat,0.0,,,,Sonhei que tinha grandes coxonas.,
451,ex,100.0,namor,87.5,fic,25.0,ex,namorava,,Sonhei que eu namorava com meu ex.,
477,abrac,100.0,luan,100.0,achand,12.5,abracava,luan,,Sonhei que abraçava o Luan e nossas fotos ficaram perfeitas.,
358,tatuagens,100.0,faz,61.5,quer,15.4,tatuagens,,,"Sonhei que tinha cinco tatuagens, preciso para ontem.",
459,mensag,99.0,mand,97.1,fal,12.7,mensagem,mandou,,"Sonhei que ele me mandou mensagem. É um sinal, será?",
320,neym,100.0,namor,11.8,bairr,5.9,neymar,,,Sonhei que peguei o Neymar .,
355,tra,100.0,car,6.8,send,6.8,traindo,,,Sonhei que pegava o boy me traindo.,
460,nasc,100.0,filh,25.8,grav,14.5,nascidos,filhos,,Sonhei que tinha dois filhos recém-nascidos adotados. O que significa?,
573,dev,100.0,preocup,100.0,algu,15.0,devo,preocupar,,"Sonhei que era pai, devo me preocupar?",
235,tom,100.0,banh,8.3,holland,6.4,tomando,,,"Sonhei que estava com meus amigos na Alemanha, tomando vinho.",
399,morr,100.0,car,4.9,lembr,4.9,morrido,,,Sonhei que o Sérgio Moro tinha morrido. WTF.,
203,conhec,100.0,pesso,9.4,fal,8.1,conhecia,,,Logo sonhei que conhecia a ícone da Anitta.,
155,fic,100.0,ia,8.9,pesso,7.6,ficava,,,"Não, fui eu que sonhei que ficava com Neiff .",
435,azul,100.0,cabel,100.0,pint,100.0,azul,cabelo,pintado,Sonhei que tinha pintado parte do cabelo de azul.,
12,aniversari,100.0,esquec,100.0,mund,90.9,aniversario,esquecido,mundo,"Sonhei que todo mundo tinha esquecido do meu aniversário, chorei.",
623,colic,100.0,achand,20.0,grav,20.0,colica,,,Sonhei que estava com cólica e acordei com cólica.,
469,cabel,100.0,descolor,100.0,caiu,16.7,cabelo,descoloria,,Sonhei que descoloria metade do cabelo. É esse o tweet.,
20,desped,100.0,mund,28.6,beij,14.3,despedido,,,E eu que sonhei que fui despedido .,
553,nov,100.0,grav,12.5,quer,5.8,novo,,,"Sonhei que ganhava um girassol, de novo.",
151,pai,100.0,vir,100.0,algu,12.5,pai,virei,,"Mano, eu sonhei que virei pai. Deus é mais.",
560,toc,100.0,despert,18.1,comec,7.2,tocar,,,Sonhei que eu sabia tocar piano.,
515,entrav,100.0,cas,45.2,gat,12.9,entrava,,,Sonhei que entrava um atirador na minha escola.,
628,billi,100.0,morr,22.2,quer,22.2,billie,morrer,querendo,Sonhei que estavam falando mal da Billie. Acordei querendo morrer.,
233,namor,100.0,gent,3.7,acredit,1.9,namorava,,,Sonhei que namorava .,
46,com,100.0,vontad,10.8,faz,9.6,comia,,,"Tô mal, sonhei que comia bolinho do Pokémon.",
21,achav,100.0,dinheir,14.7,celul,11.8,achava,,,Eu sonhei que achava minha pochete.,
295,pod,100.0,compr,40.0,verdad,11.4,pode,,,"Sonhei que estava de mullet, só pode ser um sinal.",
379,sequestr,100.0,tent,19.0,car,14.3,sequestrada,,,Essa noite sonhei que fui sequestrada .,
72,peg,100.0,cas,13.8,fic,8.3,pegando,,,"Ok, eu sonhei que a Mace estava pegando fogo.",
22,grav,100.0,pesadel,100.0,horrivel,18.2,gravida,pesadelo,,Eu sonhei que estava grávida? Que pesadelo são esses?,
231,acident,100.0,sofr,100.0,carr,35.3,acidente,sofrido,carro,"Hoje sonhei que tinha sofrido um acidente de carro, livra.",
474,enem,100.0,faz,78.9,chor,15.8,enem,,,Sonhei que fiz o Enem.,
523,jao,100.0,show,77.8,ia,27.8,jao,show,ia,Sonhei que ia no show do Jão chorando até agora.,
23,acab,100.0,mund,81.2,luz,12.5,acabando,mundo,,Sonhei que o mundo estava acabando.,
103,famil,100.0,trist,26.3,apresent,15.8,familia,,,Sonhei que minha família descobria meu Orkut.,
24,k,100.0,pop,100.0,grup,30.0,k,pop,,Sonhei que estava no nens de K-pop.,
553,nov,100.0,grav,12.5,quer,5.8,novo,,,Sonhei que estava lançando o novo de novo.,
164,normal,100.0,volt,75.0,jacar,25.0,normal,voltado,jacare,Sonhei que o jacaré tinha voltado ao normal.,
494,fumant,100.0,cachorr,16.7,certez,16.7,fumante,,,"Sonhei que era fumante de novo, mano.",
622,par,100.0,put,23.2,grav,8.5,parado,,,"Meu Deus, sonhei que o Nubank tinha parado de existir.",
478,hor,100.0,perd,100.0,sab,25.0,horas,perdi,,Sonhei que perdi o Altas Horas e comecei a chorar.,
592,rol,100.0,amig,7.5,cas,7.5,role,,,Sonhei que o Lula comprava Corote para mim no rolê.,
4,lanc,100.0,music,23.2,ia,12.2,lancado,,,Sonhei que a Taylor tinha lançado o 1989TV.,
83,barb,100.0,tir,31.2,bigod,12.5,barba,,,Sonhei que o Barba Negra queria ser meu namorado.,
388,twitt,100.0,fal,9.1,mae,9.1,twitter,,,Sonhei que eu tinha  no Twitter.,
636,bal,100.0,faz,15.4,comig,7.7,bale,,,Sonhei que estava em uma aula de balé.,
25,coloc,100.0,piercing,100.0,nariz,16.7,colocado,piercing,,Sonhei que tinha colocado um piercing pensativo aqui.,
373,fum,100.0,cigarr,10.9,bas,7.3,fumando,,,Sonhei que estava fumando beck pela .,
165,receb,100.0,dia,9.1,trabalh,7.8,recebia,,,"Hoje eu sonhei que recebia [oculto] . Ai, tolinha.",
136,grav,100.0,aparec,1.1,gent,1.1,gravida,,,"Eu não sonhei que estava grávida, né?",
605,quebr,100.0,com,7.0,celul,5.6,quebrado,,,Sonhei que tinha quebrado a mão.,
183,mot,100.0,compr,63.6,ganh,18.2,moto,,ganhando,"Sonhei que estava ganhando uma moto, será que ? 🤔",
609,cai,75.0,porr,56.2,acab,6.2,,porrada,,Sonhei que eu estava dando porrada no Marcelo.,
